id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost,Footprint
0,37.8860429,-122.3006004,3,2000,RES3,W2,9332,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300575,37.886210],[-122.300738,37.886181],[-122.300611,37.885734],[-122.300447,37.885763],[-122.300575,37.886210]]]},""properties"":{}}"
1,37.8859807,-122.3010232,3,2000,RES3,W2,6300,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300924,37.885819],[-122.301024,37.886140],[-122.301181,37.886109],[-122.301081,37.885789],[-122.300924,37.885819]]]},""properties"":{}}"
2,37.88590719,-122.3013671,3,2000,RES3,W2,6300,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301358,37.886083],[-122.301499,37.886056],[-122.301400,37.885737],[-122.301258,37.885765],[-122.301358,37.886083]]]},""properties"":{}}"
3,37.88566969,-122.3011521,3,2000,RES3,W2,5700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301390,37.885686],[-122.301355,37.885570],[-122.300850,37.885662],[-122.300885,37.885779],[-122.301390,37.885686]]]},""properties"":{}}"
4,37.88586195,-122.3017683,3,2000,RES3,W2,7350,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301935,37.885998],[-122.301832,37.885625],[-122.301677,37.885651],[-122.301779,37.886024],[-122.301935,37.885998]]]},""properties"":{}}"
5,37.88595243,-122.3020692,1,2000,RES1,W1,2300,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302108,37.885839],[-122.301983,37.885865],[-122.302022,37.885980],[-122.302147,37.885953],[-122.302108,37.885839]]]},""properties"":{}}"
6,37.88578844,-122.3022269,3,2000,RES3,W2,7350,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302251,37.885553],[-122.302100,37.885583],[-122.302220,37.885951],[-122.302371,37.885920],[-122.302251,37.885553]]]},""properties"":{}}"
7,37.88550571,-122.3018686,3,2000,RES3,W2,7670,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302236,37.885496],[-122.302205,37.885390],[-122.301599,37.885501],[-122.301631,37.885607],[-122.302236,37.885496]]]},""properties"":{}}"
8,37.88573755,-122.3026209,3,2000,RES3,W2,7350,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302642,37.885877],[-122.302790,37.885851],[-122.302688,37.885483],[-122.302540,37.885509],[-122.302642,37.885877]]]},""properties"":{}}"
9,37.88577148,-122.3028932,1,2000,RES1,W1,2300,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302836,37.885746],[-122.302866,37.885837],[-122.302991,37.885811],[-122.302962,37.885720],[-122.302836,37.885746]]]},""properties"":{}}"
10,37.88563011,-122.3030508,3,2000,RES3,W2,7350,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303176,37.885412],[-122.303031,37.885413],[-122.303036,37.885784],[-122.303181,37.885783],[-122.303176,37.885412]]]},""properties"":{}}"
11,37.88533041,-122.302757,3,2000,RES3,W2,7670,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303096,37.885332],[-122.303066,37.885223],[-122.302455,37.885327],[-122.302485,37.885436],[-122.303096,37.885332]]]},""properties"":{}}"
12,37.88515511,-122.3036383,3,2000,RES3,W2,8163,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303473,37.885097],[-122.303526,37.885281],[-122.303879,37.885218],[-122.303854,37.885131],[-122.303885,37.885125],[-122.303865,37.885057],[-122.303832,37.885063],[-122.303824,37.885035],[-122.303473,37.885097]]]},""properties"":{}}"
13,37.88503071,-122.3043763,3,2000,RES3,W2,10345,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304129,37.884989],[-122.304177,37.885167],[-122.304697,37.885079],[-122.304649,37.884901],[-122.304129,37.884989]]]},""properties"":{}}"
14,37.88496851,-122.3050999,3,2000,RES3,W2,11263,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.305084,37.885207],[-122.305321,37.885167],[-122.305208,37.884754],[-122.304971,37.884795],[-122.305084,37.885207]]]},""properties"":{}}"
15,37.88482714,-122.3055298,1,2000,RES1,W1,2000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.305203,37.884685],[-122.305111,37.884708],[-122.305130,37.884757],[-122.305222,37.884734],[-122.305203,37.884685]]]},""properties"":{}}"
16,37.88547743,-122.3006434,3,2000,RES3,W2,9867,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300960,37.885369],[-122.300349,37.885475],[-122.300380,37.885588],[-122.300992,37.885483],[-122.300960,37.885369]]]},""properties"":{}}"
17,37.88533041,-122.3013742,3,2000,RES3,W2,9867,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301711,37.885327],[-122.301679,37.885212],[-122.301070,37.885318],[-122.301103,37.885433],[-122.301711,37.885327]]]},""properties"":{}}"
18,37.8850816,-122.3019259,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302090,37.885224],[-122.302027,37.885012],[-122.302037,37.885010],[-122.302017,37.884943],[-122.301984,37.884949],[-122.301949,37.884831],[-122.301824,37.884855],[-122.301941,37.885251],[-122.302090,37.885224]]]},""properties"":{}}"
19,37.88509291,-122.3023558,3,2000,RES3,W2,9500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302658,37.884988],[-122.302097,37.885087],[-122.302125,37.885189],[-122.302687,37.885089],[-122.302658,37.884988]]]},""properties"":{}}"
20,37.88488369,-122.302757,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302872,37.885055],[-122.302749,37.884658],[-122.302605,37.884686],[-122.302728,37.885083],[-122.302872,37.885055]]]},""properties"":{}}"
21,37.88483279,-122.3022555,3,2000,RES3,W2,9500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302568,37.884716],[-122.302001,37.884812],[-122.302030,37.884916],[-122.302596,37.884820],[-122.302568,37.884716]]]},""properties"":{}}"
22,37.88483845,-122.3033159,3,2000,RES3,W2,9000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303282,37.884740],[-122.303336,37.884927],[-122.303549,37.884889],[-122.303528,37.884815],[-122.303602,37.884802],[-122.303618,37.884858],[-122.303733,37.884838],[-122.303686,37.884674],[-122.303559,37.884697],[-122.303568,37.884729],[-122.303514,37.884739],[-122.303503,37.884701],[-122.303282,37.884740]]]},""properties"":{}}"
23,37.88452743,-122.3030293,3,2000,RES3,W2,8500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303223,37.884547],[-122.303176,37.884365],[-122.303107,37.884376],[-122.303094,37.884328],[-122.303132,37.884322],[-122.303109,37.884233],[-122.302908,37.884265],[-122.302933,37.884362],[-122.303004,37.884351],[-122.303019,37.884413],[-122.302947,37.884424],[-122.302988,37.884585],[-122.303223,37.884547]]]},""properties"":{}}"
24,37.88446523,-122.3035308,3,2000,RES3,W2,8500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303533,37.884279],[-122.303308,37.884316],[-122.303341,37.884440],[-122.303396,37.884431],[-122.303446,37.884615],[-122.303623,37.884586],[-122.303617,37.884562],[-122.303670,37.884554],[-122.303630,37.884405],[-122.303531,37.884421],[-122.303517,37.884371],[-122.303556,37.884365],[-122.303533,37.884279]]]},""properties"":{}}"
25,37.8846688,-122.3042258,3,2000,RES3,W2,9000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304572,37.884652],[-122.304524,37.884494],[-122.304406,37.884516],[-122.304416,37.884549],[-122.304354,37.884561],[-122.304342,37.884521],[-122.304116,37.884563],[-122.304132,37.884617],[-122.304074,37.884628],[-122.304064,37.884594],[-122.303950,37.884616],[-122.303998,37.884773],[-122.304115,37.884751],[-122.304096,37.884689],[-122.304168,37.884675],[-122.304188,37.884741],[-122.304387,37.884704],[-122.304366,37.884634],[-122.304441,37.884620],[-122.304458,37.884674],[-122.304572,37.884652]]]},""properties"":{}}"
26,37.88440303,-122.3039321,3,2000,RES3,W2,8500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303816,37.884205],[-122.303841,37.884306],[-122.303890,37.884298],[-122.303903,37.884349],[-122.303823,37.884361],[-122.303862,37.884516],[-122.304094,37.884480],[-122.304049,37.884299],[-122.304076,37.884294],[-122.304044,37.884169],[-122.303816,37.884205]]]},""properties"":{}}"
27,37.88435779,-122.3043835,3,2000,RES3,W2,8500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.304157,37.884127],[-122.304187,37.884249],[-122.304253,37.884239],[-122.304299,37.884430],[-122.304476,37.884404],[-122.304470,37.884378],[-122.304519,37.884371],[-122.304483,37.884221],[-122.304377,37.884236],[-122.304365,37.884188],[-122.304404,37.884183],[-122.304383,37.884094],[-122.304157,37.884127]]]},""properties"":{}}"
28,37.88447654,-122.3048993,3,2000,RES3,W2,7400,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.305153,37.884566],[-122.305108,37.884384],[-122.304736,37.884441],[-122.304781,37.884623],[-122.305153,37.884566]]]},""properties"":{}}"
29,37.88405243,-122.3048277,3,2000,RES3,W2,7400,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.305017,37.884140],[-122.304967,37.883958],[-122.304600,37.884020],[-122.304650,37.884202],[-122.305017,37.884140]]]},""properties"":{}}"
30,37.88438606,-122.3056445,3,2000,RES3,W2,4200,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.305831,37.884418],[-122.305792,37.884291],[-122.305491,37.884349],[-122.305530,37.884476],[-122.305831,37.884418]]]},""properties"":{}}"
31,37.88515988,-122.3002278,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300236,37.885279],[-122.300400,37.885250],[-122.300342,37.885046],[-122.300326,37.885049],[-122.300270,37.884851],[-122.300122,37.884878],[-122.300236,37.885279]]]},""properties"":{}}"
32,37.88513492,-122.3006389,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300892,37.885136],[-122.300860,37.885018],[-122.300391,37.885099],[-122.300423,37.885216],[-122.300892,37.885136]]]},""properties"":{}}"
33,37.88501014,-122.3012017,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301398,37.884900],[-122.300929,37.884982],[-122.300963,37.885101],[-122.301432,37.885019],[-122.301398,37.884900]]]},""properties"":{}}"
34,37.88478552,-122.3014168,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301623,37.884983],[-122.301493,37.884584],[-122.301345,37.884614],[-122.301474,37.885013],[-122.301623,37.884983]]]},""properties"":{}}"
35,37.88475058,-122.301012,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301306,37.884641],[-122.300845,37.884734],[-122.300882,37.884848],[-122.301343,37.884756],[-122.301306,37.884641]]]},""properties"":{}}"
36,37.88487037,-122.3005187,3,2000,RES3,W2,6700,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300300,37.884850],[-122.300339,37.884969],[-122.300807,37.884874],[-122.300768,37.884755],[-122.300300,37.884850]]]},""properties"":{}}"
37,37.88463577,-122.3017772,1,2000,RES1,W1,1265,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301840,37.884560],[-122.301709,37.884592],[-122.301732,37.884651],[-122.301863,37.884619],[-122.301840,37.884560]]]},""properties"":{}}"
38,37.88446606,-122.3017519,3,2000,RES3,W2,8600,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301557,37.884088],[-122.301708,37.884564],[-122.301853,37.884535],[-122.301701,37.884059],[-122.301557,37.884088]]]},""properties"":{}}"
39,37.88444111,-122.3022199,3,2000,RES3,W2,8600,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302524,37.884477],[-122.302493,37.884372],[-122.302147,37.884437],[-122.302143,37.884427],[-122.301888,37.884474],[-122.301923,37.884589],[-122.302524,37.884477]]]},""properties"":{}}"
40,37.88450674,-122.3002063,3,2000,RES3,W2,7460,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300020,37.884265],[-122.300152,37.884661],[-122.300300,37.884630],[-122.300168,37.884234],[-122.300020,37.884265]]]},""properties"":{}}"
41,37.88453717,-122.300366,3,2000,RES3,W2,4000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300686,37.884537],[-122.300650,37.884419],[-122.300295,37.884487],[-122.300332,37.884605],[-122.300686,37.884537]]]},""properties"":{}}"
42,37.88426326,-122.3004101,3,2000,RES3,W2,4000,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300564,37.884166],[-122.300208,37.884232],[-122.300242,37.884347],[-122.300598,37.884282],[-122.300564,37.884166]]]},""properties"":{}}"
